title,detail,baseInfoKeyList,baseInfoValueList
 先驱者系列,"""先驱者计划（英语：Pioneerprogram）是美国的一系列无人行星探测任务。整个计划分为数个任务，而最著名的是先驱者10号和11号，它们探测外层行星并飞出了太阳系。两个探测器都携带了刻画着男女和地球位置的金版，期待地外生命有朝一日发现并解读它。计划的命名归功于斯蒂芬·A·萨利加（StephenA.Saliga），当时属于赖特帕特森空军基地的空军定位小组成员。在一场发布会上，计划的首个航天器被提名为“带红外扫描设备的月球轨道器”，萨利加认为名字太长，不能突出任务的主题。他建议使用“先驱”作为首个航天器的名字，因为“军方已经发射了探索者号卫星，媒体将军方成为‘太空先驱’”，采用了这个名字的空军方面决定来一次“质的飞跃”，使自己真正成为“太空先驱”。""",中文:, 先驱者系列
 冥王星探测器,"""新視野號（NewHorizons）又譯新地平線號，是美國國家航空暨太空總署旨在探索矮行星冥王星（在發射時間仍然被認為是一顆行星）和柯伊伯带的行星際機器人太空船任務，它是第一艘飛越和研究冥王星和它的衛星，凱倫、尼克斯和許德拉的太空探測器。NASA可能還會批准它飛越一個或两個古柏帶天體。任務概要是由美国西南研究院首席研究員艾倫·斯特恩所領導的一個團隊提出。經過在發射地點的幾個延誤後，新視野號于2006年1月19日在卡纳维拉尔角發射，直接進入地球和太陽逃逸軌道，在最後關閉引擎時相對於地球的速度是16.26公里/秒，或58,536公里/小時（10.10英里/秒或36,373英里/小時）。因此，它是有史以來以最快的發射速度離開地球的人造物體。2015年7月14日新视野号飛越冥王星系统。随后，新視野號将繼續進入古柏帶。經過與小行星132524APL一個短暫的相遇後，新視野號飛往木星，在2007年2月28日使得其最接近木星的距離为2.3×106公里（1.4×106英里）。木星飛掠提供重力助推给新視野號的速度增加了4km/s（14,000km/h；9,000mph）。木星相遇也被用來作為新視野號科技性能的全面測試，傳回關於行星的大氣層，衛星和磁層的數據。在飛掠木星後，探測器繼續前往冥王星。在木星後的大部分旅行中，太空船是处于休眠模式度過，以保護太空船上的系統。在2006年9月，新視野號第一次拍攝了冥王星，其次是在2013年7月拍攝了區分冥王星和它的衛星冥卫一作為兩個單獨的對象的圖像。無線電信號从新視野號太空船旅行到地球需要用4個多小時。格林威治時間2015年7月14日上午11時49分，新視野號接近冥王星12,500公里，為旅程中最接近冥王星的位置。它成為了第一艘探索冥王星的航天器。協調世界時7月15日00時52分37秒（美國東部時間7月14日20時52分37秒），美國國家航空暨太空總署收到了新視野號傳來的訊息，證實了探測器在預定的時間成功地飛越了冥王星，探測器各方面的運作一切正常，和先前預料的一樣。""",中文:, 冥王星探测器
 土星探测器,"""卡西尼-惠更斯號（英语：Cassini–Huygens）是前往行星土星的一艘無人太空船。它是NASA-ESA-ASI的旗艦級機器人太空船。卡西尼號雖然是第四艘前往土星的太空探測器，但卻是第一艘環繞土星，它於2004年抵達後，就開始研究土星和它的許多衛星，已於2017年9月15日销毀於土星大氣層。该計劃於1980年代開始。它的設計包括繞行土星的人造衛星（卡西尼號）和登陸泰坦（惠更斯號）。這兩艘太空船是以天文學家喬凡尼·多美尼科·卡西尼和克里斯蒂安·惠更斯的名字命名。太空船於1997年10月15日使用泰坦VB/半人馬發射升空，在2004年7月1日進入環繞土星的軌道。在前往的星際航行途中，曾兩度飛越金星，一次飛越地球與木星。在2004年12月25日，惠更斯號與卡西尼號分離，並在2005年1月14日降落在泰坦。它利用卡西尼號中繼，成功的將資料傳送回地球。這是有史以來第一次在外太陽系的天體上著陸。卡西尼號在抵達後就持續的研究土星系統，並兩度延展計畫直至2017年4月。然而，因為太空船用於調整與校正軌道的燃料因消耗而不斷減少，在2016年11月30日決定進入專案的最後階段。卡西尼號將駛入土星環的內圈，每7天繞行土星一次。太空船將一點一點地深入這過去從未觸及的區域，以得到最接近土星環的外觀。在2016年12月4日，太空船首度通過土星環。卡西尼號已在2017年9月15日潛入土星大氣層中銷毀，並在結束前傳送回最後的圖像。選擇這樣的處置方法，為的是避免污染可能有生物存在的土衛。""",中文:, 土星探测器
 天王星探测器,"""天王星軌道探測器（UranusOrbiterandProbe）也被歐洲太空總署稱為天王星拓荒者（UranusPathfinder），是NASA於ESA正在構想的天王星探測器。它的任務是繼續旅行者2號在1986年對天王星的研究。""",中文:, 天王星探测器
 探索者系列,"""探索者计划是美国首个将人造卫星送入太空的成功计划，起源是美国军方提议在国际地球物理年之际将一颗人造卫星送入轨道。该计划因美国海军已有了前锋计划而遭到否决。而1957年10月4日，苏联成功发射了第一颗人造卫星史普尼克1号。美国为了追赶苏联而将军方的计划当做应急方案。1958年1月31日，探索者1号发射升空，成为美国第一颗人造卫星，并发现了范艾伦辐射带。""",中文:, 探索者系列
 探险者计划,"""探险者一号（英语：Explorer1）是美国于1958年1月31日在佛罗里达州卡拉维纳尔角发射的第一颗地球人造卫星，晚于前苏联于1957年10月4日发射的世界第一颗地球人造卫星史普尼克1号和同年11月3日发射的携带小狗莱卡的第二颗卫星。探险者一号卫星总重13.97千克，其中仪器重8.3千克，它的轨道近地点为360千米，远地点2520千米，114.9分钟绕地球一圈，每分钟围绕长轴自转50周。卫星携带的仪器包括体格宇宙射线探测仪，三个外部温度探头，一个前部温度探头，一套微波背景探测器。探测结果数据通过一个60毫瓦的发射器以108.03兆赫频率和另一个10毫瓦的发射器以108.00兆赫的频率发射到地面接收站。探险者一号最主要的发现是确定了地球外的磁辐射带，以分析探险者一号发回数据的衣阿华小组负责人詹姆斯·范·艾伦命名为范艾伦辐射带。探险者一号留在軌道上直到1970年，在它后来有一直跟著的探索者计划系列有90多個科研航天器。""",中文:, 探险者计划
 旅行者系列,"""旅行者1号（Voyager1）是美国国家航空航天局（NASA）研制的一艘无人外太阳系太空探测器，重825.5kg，于1977年9月5日发射，截止到2018年仍然正常运作。它是有史以来距离地球最远的人造飞行器，也是第一个离开太阳系的人造飞行器。受惠于几次的引力加速，旅行者1号的飞行速度比现有任何一个飞行器都要快些，这使得较它早两星期发射的姊妹船旅行者2号永远都不会超越它。它的主要任务在1979年经过木星系统、1980年经过土星系统之后，结束于1980年11月20日。它也是第一个提供了木星、土星以及其卫星详细照片的探测器。2012年8月25日，“旅行者1号”成为第一个穿越太阳圈并进入星际介质的宇宙飞船。截至2018年1月2日止，旅行者1号正处于离太阳141AU（2.11×1010km），是离地球最远的人造物体。旅行者1号目前在沿双曲线轨道飞行，并已经达到了第三宇宙速度。这意味着他的轨道再也不能引导太空船飞返太阳系，与没法联络的先驱者10号及已停止操作的先驱者11号一样，成为了一艘星际太空船。旅行者1号原先的主要目标，是探测木星与土星及其卫星与环。现在任务已变为探测太阳风顶，以及对太阳风进行粒子测量。两艘旅行者号探测器，都是以三块放射性同位素热电机作为动力来源。这些发电机目前已经大大超出了起先的设计寿命，一般认为它们在大约2020年之前，仍然可提供足够的电力令太空船能够继续与地球联系。钚核电池能够保证旅行者号上搭载的科学仪器继续工作至2025年。2036年，讯号传输的电力将消耗殆尽。一旦电池耗尽，“旅行者1号”将继续向银河系中心前进，不会再向地球发回数据。""",中文:, 旅行者系列
 行星探测车,"""勇气号火星探测器，台湾译作精神号火星探测车[1]（Spirit,MER-A），是美国国家航空航天局火星探测漫游者计划的第一部火星漫游车。火星探测漫游者计划旨在将勇气号和机遇号两部双胞胎火星车送往火星，对火星这颗红色行星进行详细考察。""",中文:, 行星探测车
 计划中的太空探测器,"""空间探测器（英语：spaceprobe）也称深空探测器，是用于探测地球以外天体和星际空间的无人航天器。空间探测器的基本构造多与人造地球卫星相近，但探测器通常用于执行某一特定探測或調查的任务，因而会携带相应的特殊设备。由于离地球较远通信不畅，空间探测器通常有较完备的自动化系统，甚至具有一定程度的人工智能，以便在无人控制的情况下按實際情況來進行任務。GPS是英文GlobalPositioningSystem（全球定位系统）的简称。GPS起始于1958年美国军方的一个项目，1964年投入使用。20世纪70年代，美国陆海空三军联合研制了新一代卫星定位系统GPS。主要目的是为陆海空三大领域提供实时、全天候和全球性的导航服务，并用于情报搜集、核爆监测和应急通讯等一些军事目的，经过20余年的研究实验，耗资300亿美元，到1994年，全球覆盖率高达98%的24颗GPS卫星星座己布设完成。在机械领域GPS则有另外一种含义：产品几何技术规范（GeometricalProductSpecifications,简称GPS）。另外一种含义为G/s（GBpersecond）。GPS（GeneralizedProcessorSharing）广义为处理器分享，网络服务质量控制中的专用术语。""",中文:, 计划中的太空探测器
 因果律,"""因果关系（英語：causality或causation）是一個事件（即“因”）和第二個事件（即“果”）之間的作用關係，其中後一事件被認為是前一事件的結果。一般來說，一個事件是很多原因綜合產生的結果，而且原因都發生在較早時間點，而該事件又可以成為其他事件的原因。一般來說，因果還可以指一系列因素（因）和一個现象（果）之間的關係。對某个结果產生影響的任何事件都是该结果的一个因素。直接因素是直接影响结果的因素，也即无需任何介入因素（介入因素有时又称中介因素）。从这个角度来讲，因果之间的关系也可以称为因果关联（causalnexus）。原因和结果通常和变化或事件有关，还包括客体、过程、性质、变量、事实、状况；概括因果关系争议很多。对因果关系的哲学研究历史悠久，佛教和西方哲學家如亞里士多德在2000多年前就已經提出了因果，该问题仍是现代哲学的重要课题。""",中文:, 因果律
 软件质量,"""軟體品質，是指軟體系統或系統中的軟體部分的品質，即滿足用戶需求，包括功能需求和性能需求的程度。""",中文:, 软件质量
 回归分析,"""迴歸分析（英语：RegressionAnalysis）是一種統計學上分析數據的方法，目的在於了解兩個或多個變數間是否相關、相關方向與強度，並建立數學模型以便觀察特定變數來預測研究者感興趣的變數。更具体的来说，回归分析可以帮助人们了解在只有一个自变量变化时因变量的变化量。一般来说，通过回归分析我们可以由给出的自变量估计因变量的条件期望。迴歸分析是建立因變數Y{\displaystyleY}（或稱依變數，反應變數）與自變數X{\displaystyleX}（或稱獨變數，解釋變數）之間關係的模型。簡單線性回歸使用一個自變量X{\displaystyleX}，複迴歸使用超過一個自變量（X1,X2...Xi{\displaystyleX_{1},X_{2}...X_{i}}）。""",中文:, 回归分析
 数学优化软件,"""最优化，是应用数学的一个分支，主要研究以下形式的问题：""",中文:, 数学优化软件
 最佳控制,"""最优控制理论是要針對控制問題找到控制法則，可以滿足所要求的最佳化準則。最优控制理论是变分法的推广，着重于研究使控制系统的指标达到最优化的条件和方法。这门学科的开创性工作主要是由1950年代前苏联的庞特里亚金和美国的贝尔曼所完成，這些是以愛德華J.麥克沙恩所發展的变分法為其基礎。最优控制可以視為是控制理論中的一種控制策略。""",中文:, 最佳控制
 算法,"""算法（algorithm），在數學（算學）和電腦科學之中，為任何良定义的具體計算步驟的一个序列，常用於計算、數據處理和自動推理。精確而言，算法是一個表示爲有限長列表的有效方法。算法應包含清晰定義的指令用於計算函數。算法中的指令描述的是一個計算，當其執行時能從一個初始狀態和初始輸入（可能爲空）開始，經過一系列有限而清晰定義的狀態最終產生輸出並停止於一個終態。一個狀態到另一個狀態的轉移不一定是確定的。隨機化算法在内的一些算法，包含了一些隨機輸入。形式化算法的概念部分源自尝试解决希尔伯特提出的判定问题，並在其后尝试定义有效可計算性或者有效方法中成形。这些尝试包括库尔特·哥德尔、雅克·埃尔布朗和斯蒂芬·科尔·克莱尼分别于1930年、1934年和1935年提出的遞歸函數，阿隆佐·邱奇於1936年提出的λ演算，1936年埃米爾·萊昂·珀斯特的Formulation1和艾倫·圖靈1937年提出的圖靈機。即使在當前，依然常有直覺想法難以定義爲形式化算法的情況。""",中文:, 算法
 信息论,"""信息论（英语：informationtheory）是应用数学、電機工程學和计算机科学的一个分支，涉及信息的量化、存储和通信等。信息论是由克劳德·香农发展，用来找出信号处理与通信操作的基本限制，如数据压缩、可靠的存储和数据传输等。自创立以来，它已拓展应用到许多其他领域，包括统计推断、自然语言处理、密码学、神经生物学、进化论和分子编码的功能、生态学的模式选择、热物理、量子计算、语言学、剽窃检测、模式识别、异常检测和其他形式的数据分析。熵是信息的一个关键度量，通常用一条消息中需要存储或传输一个符号的平均比特数来表示。熵衡量了预测随机变量的值时涉及到的不确定度的量。例如，指定擲硬幣的结果（两个等可能的结果）比指定掷骰子的结果（六个等可能的结果）所提供的信息量更少（熵更少）。信息论将信息的传递作为一种统计现象来考虑，给出了估算通信信道容量的方法。信息传输和信息压缩是信息论研究中的两大领域。这两个方面又由信道编码定理、信源－信道隔离定理相互联系。信息论的基本内容的应用包括无损数据压缩（如ZIP文件）、有损数据压缩（如MP3和JPEG）、信道编码（如数字用户线路（DSL））。这个领域处在数学、统计学、计算机科学、物理学、神经科学和電機工程學的交叉点上。信息论对航海家深空探测任务的成败、光盘的发明、手机的可行性、互联网的发展、语言学和人类感知的研究、对黑洞的了解，以及许多其他领域都影响深远。信息论的重要子领域有信源编码、信道编码、算法复杂性理论、算法信息论、資訊理論安全性和信息度量等。""",中文:, 信息论
 内容管理系统,"""内容管理系统（英语：contentmanagementsystem，缩写为CMS）是指在一个合作模式下，用于管理工作流程的一套制度。该系统可应用于手工操作中，也可以应用到电脑或网络裡。作为一种中央储存器（centralrepository），内容管理系统可将相关内容集中储存并具有群组管理、版本控制等功能。版本控制是内容管理系统的一个主要优势。内容管理系统在物品或文案或数据的存储、掌管、修订（盘存）、语用充实、文档发布等方面有着广泛的应用。现在流行的开源CMS系统有WordPress、Joomla!、Drupal、Xoops、CmsTop等。""",中文:, 内容管理系统
 推荐系统,"""推荐系统是一种信息过滤系统，用于预测用户对物品的“评分”或“偏好”。推荐系统近年来非常流行，应用于各行各业。推荐的对象包括：电影、音乐、新闻、书籍、学术论文、搜索查询、分众分类、以及其他产品。也有一些推荐系统专门为寻找专家、合作者、笑话、餐厅、美食、金融服务、生命保险、網路交友，以及Twitter页面设计。""",中文:, 推荐系统
 数据库管理系统,"""数据库管理系统（英语：databasemanagementsystem，缩写：DBMS）是一种针对对象数据库，为管理数据库而设计的大型电脑软件管理系统。具有代表性的数据管理系统有：Oracle、MicrosoftSQLServer、Access、MySQL及PostgreSQL等。通常資料庫管理師會使用資料庫管理系統來建立資料庫系統。现代DBMS使用不同的数据库模型追踪实体、属性和关系。在个人电脑、大型计算机和主机上应用最广泛的数据库管理系统是关系型DBMS（relationalDBMS）。在关系型数据模型中，用二维表格表示数据库中的数据。这些表格称为关系。""",中文:, 数据库管理系统
 管理信息系统,"""管理信息系统（ManagementInformationSystem，MIS）是一个以人为主导的，利用计算机硬件、软件和网络设备，进行信息的收集、传递、存储、加工、整理的系统，以提高组织的经营效率。管理信息系統是有別於一般的信息系統，因為它們都是用來分析其它信息系統在組織的業務活動中的應用。學術上，管理信息系统通常是用來指那些和決策自動化或支援決策者做決策有關的信息管理方法（例如決策支持系統，專家系統，和主管支援系統）的統稱。""",中文:, 管理信息系统
 系统软件,"""系統軟體（英语：Systemsoftware），主要指用來運行或控制硬體所開發的計算機軟體，如作業系統、直譯器、編譯器、資料庫管理系統、公用程式等面向开发者的软件。系統軟體一詞常與系統程式(systemprogram)混用，狹義而言，系統程式指的是作業系統設計，以及與作業系統相關的程式，例如行程排班、記憶體管理、行程通訊、平行程式、驅動程式等等；廣義來說，系統程式泛指與計算機系統相關的程式設計，例如嵌入式系統、組合語言程式設計、C語言程式設計、Linux核心程式設計等等；而系統軟體主要指的是輔佐系統程式能夠在電腦上運行或執行特定工作(例如除錯、行程排班)等等的工具程式。常見的系統軟體包含：作業系統(operatingsystem)：控制與管理計算機硬體與軟體資源，並提供使用者操作介面，讓使用者可與計算機互動的系統軟體，例如：UNIX、Linux、OSX、MicrosoftWindows。編譯器(compiler)：將程式語言撰寫的程式碼，轉換成計算機可識讀的機器語言，產生可執行檔案，例如：GNUCCompiler(GCC)、LLVM，現今許多編譯器包含了編譯、組譯與連結等多種系統程式功能。直譯器(或解譯器interpreter)：能夠把高階程式語言逐行直接轉譯執行，而非將所有內容都轉譯後才執行。連結器(linker)：將由編譯器或組譯器產生的目的檔和外部程式庫連結為一個可執行檔案。載入器(loader)：負責將程式載入到記憶體中，並配置記憶體與相關參數，使之能夠運行，現今許多整合開發環境(IDE)整合了編譯器與載入器，使的開發人員可以在編譯後立即執行測試結果。組譯器(assembly)：將用組合語言編寫，或是編譯器轉換過程中產生的組合語言檔案，轉換成機器語言檔案。除錯器(debugger)：用於偵錯其它程式，能夠讓程式碼在指令組模擬器（ISS）中可以檢查運行狀況以及選擇性地運行(例如設定中斷點)。硬體驅動程式(driver)：它提供了一個軟硬體介面，讓電腦軟體可以與硬體互動的程式。公用程式：管理電腦的許多工具程式，如:檔案管理程式、格式化工具、磁碟管理。""",中文:, 系统软件
 概率分布,"""概率分布（德語：Wahrscheinlichkeitsverteilung，英语：probabilitydistribution）或簡稱分布，是概率論的一個概念。使用時可以有以下兩種含義：廣義地，它指稱隨機變量的概率性質－－當我們說概率空間(Ω,F,P){\displaystyle(\Omega,{\mathcal{F}},\mathbb{P})}中的兩個隨機變量X和Y具有同樣的分布（或同分布）時，我們是無法用概率P{\displaystyle\mathbb{P}}來區別他們的。換言之：但是，不能認為同分布的隨機變量是相同的隨機變量。事實上即使X與Y同分布，也可以没有任何點ω使得X(ω)=Y(ω)。在這個意義下，可以把隨機變量分類，每一類稱作一個分布，其中的所有隨機變量都同分布。用更簡要的語言來說，同分布是一種等價關係，每一個等價類就是一個分布。需注意的是，通常談到的離散分布、均勻分布、伯努利分布、正態分布、泊松分布等，都是指各種類型的分布，而不能視作一個分布。狹義地，它是指隨機變量的概率分布函數。設X是樣本空間(Ω,F){\displaystyle(\Omega,{\mathcal{F}})}上的隨機變量，P{\displaystyle\mathbb{P}}為概率測度，則稱如下定義的函數是X的分布函數（德語：Verteilungsfunktion，英语：distributionfunction），或稱累積分布函數（德語：kumulativeVerteilungsfunktion，英语：cumulativedistributionfunction，簡稱CDF）：具有相同分布函數的隨機變量一定是同分布的，因此可以用分布函數來描述一個分布，但更常用的描述手段是概率密度函數（德語：Wahrscheinlichkeitsdichtefunktion，英语：probabilitydensityfunction,pdf）。在常用的文獻中，「分布」一詞可指其廣義和狹義，而「累計分布函數」或「分布函數」一詞只能指稱後者。為了不致混淆，下文中談及上述的廣義時使用「分布」一詞；狹義時使用「分布函數」一詞。""",中文:, 概率分布
 统一塑模语言,"""统一建模语言（英语：UnifiedModelingLanguage，縮寫UML）是非专利的第三代建模和规约语言。UML是一种开放的方法，用于说明、可视化、构建和编写一个正在开发的、面向对象的、软件密集系统的制品的开放方法。UML展现了一系列最佳工程实践，这些最佳实践在对大规模，复杂系统进行建模方面，特别是在软件架构层次已经被验证有效。這個語言由葛來迪·布區，伊瓦爾·雅各布森與詹姆士·蘭寶於1994年至1995年間，在RationalSoftware公司中開發，於1996年，又進一步發展。UML集成了Booch，OMT和面向对象软件工程的概念，将这些方法融合为单一的，通用的，并且可以广泛使用的建模语言。UML打算成为可以对并发和分布式系统的标准建模语言。UML并不是一个工业标准，但在ObjectManagementGroup的主持和资助下，UML正在逐渐成为工业标准。OMG之前曾经呼吁业界向其提供有关面向对象的理论及实现的方法，以便制作一个严谨的软件建模语言（SoftwareModelingLanguage）。有很多业界的领袖亦真诚地回应OMG，帮助它建立一个业界标准。""",中文:, 统一塑模语言
 中国机器人,"""""",中文:, 中国机器人
 日本机器人,"""世界机器人博览会（InternationalRobotExhibition，簡稱IREX）是世界上最大的机器人貿易展覽會，固定在在日本東京舉行，第一次是在1973年，之後每二年舉行一次，由日本機器人協會（JARA）和日刊工業新聞規劃，日本及世界各國的公司都會在博览会中展示最新的技術。""",中文:, 日本机器人
 美国机器人,"""《说假话的机器人》（Liar!）是美国作家艾萨克·阿西莫夫创作的一篇短篇科幻小说。这篇小说初次出版在1941年五月的《超级科学故事》（SuperScienceStories）杂志上。后来收录于1950年的《我，机器人》(I,Robot)和1982年的《机器人全集》（TheCompleteRobot）。这篇小说是阿西莫夫正式出版的第三部关于正子机器人的作品。1969年，这篇小说被改编为英国电视连续剧《来自未知》(OutoftheUnknown)中的一集。""",中文:, 美国机器人
 导弹制导,"""飛彈導引是指利用不同的方式，選擇飛行路線，將具有動力飛行的彈頭移動一段距離之後，擊中預先設定的目標。飛彈導引系統利用其中一種方式與適當的導引訊號來源（紅外線、雷達或者是可見光等），構成飛彈的控制中樞與大腦。常見的飛彈導引方式包括乘波導引、指揮導引或者是慣性導引等等。""",中文:, 导弹制导
 无人机,"""無人機（Uncrewedvehicle、Unmannedvehicle、Drone）或稱無人載具是一種無搭載人員的載具。通常使用遙控、導引或自動駕駛來控制。可在科學研究、軍事、休閒娛樂用途上使用。在日常用语中，“无人机”被特指为“無人飛行載具”。""",中文:, 无人机
 无人机无人机制造商,"""“翔龙”无人机简称“翔龙”，是由中华人民共和国成都飞机设计研究所研发、贵州航空工业集团生产的大型高空长航时（HighAltitudeLongEnduration，HALE）无人机，可执行监视、侦查、评估、情报搜集及信息中继等功能。据猜测，“翔龙”无人机也可为反舰弹道导弹及巡航导弹等指定目标。“翔龙”无人机采用了较不常见的带有翼尖小翼的联翼布局，及有利于红外隐身的三角形尾喷口。国际上同类无人机中，翔龙无人机性能及用途与美国诺斯洛普·格鲁门公司研制的“全球鹰”无人机及以色列航天工业公司研制的“埃坦”无人机等相似，但体型尺寸、级别等有所不同。""翔龙""高空高速无人侦察机全机长14.33米，翼展24.86米，机高5.413米，正常起飞重量6800公斤，任务载荷600公斤，机体寿命暂定为2500Fh。巡航高度为18000米～20000米，巡航速度大于700公里/小时；作战半径2000～2500公里，续航时间最大10小时，起飞滑跑距离350米，着陆滑跑距离500米。""",中文:, 无人机无人机制造商
 潜艇机器人,"""遙控潛水器（Remotelyoperatedunderwatervehicles,ROVs）是一個無人的水下航行器，以電纜連接到母船的人員操作。常搭載水下光源和照相機、攝影機、機械手臂、聲納等。因為具有機械手臂，所以又稱為水下機器人。遙控潛水器與全自動的自主水下載具（AUV）之主要不同是：前者需要人員的操作和關注，但可執行更複雜的工作。""",中文:, 潜艇机器人
 无人地面载具,"""無人地面載具（Unmannedgroundvehicle、縮寫為UGV），或稱地面無人機、地上無人機，是一種無須搭載成員並在地面運行的載具。應用於對人員不方便、危險或不能進入的地方，例如對炸彈的探測與處理。一些無人地面載具是從載人載具改裝而成的也有娛樂用途的地面無人機。自動駕駛汽車也可視為廣義的無人地面載具。""",中文:, 无人地面载具
 空间探测器,"""空间探测器（英语：spaceprobe）也称深空探测器，是用于探测地球以外天体和星际空间的无人航天器。空间探测器的基本构造多与人造地球卫星相近，但探测器通常用于执行某一特定探測或調查的任务，因而会携带相应的特殊设备。由于离地球较远通信不畅，空间探测器通常有较完备的自动化系统，甚至具有一定程度的人工智能，以便在无人控制的情况下按實際情況來進行任務。GPS是英文GlobalPositioningSystem（全球定位系统）的简称。GPS起始于1958年美国军方的一个项目，1964年投入使用。20世纪70年代，美国陆海空三军联合研制了新一代卫星定位系统GPS。主要目的是为陆海空三大领域提供实时、全天候和全球性的导航服务，并用于情报搜集、核爆监测和应急通讯等一些军事目的，经过20余年的研究实验，耗资300亿美元，到1994年，全球覆盖率高达98%的24颗GPS卫星星座己布设完成。在机械领域GPS则有另外一种含义：产品几何技术规范（GeometricalProductSpecifications,简称GPS）。另外一种含义为G/s（GBpersecond）。GPS（GeneralizedProcessorSharing）广义为处理器分享，网络服务质量控制中的专用术语。""",中文:, 空间探测器
 军用机器人,"""軍用機器人（英语：Militaryrobots）是為軍事用途而設計的自主機器人或遙控裝置。該系統目前一些軍隊正在研究中。""",中文:, 军用机器人
 Prolog,"""Prolog（ProgramminginLogic的缩写）是一种逻辑编程语言。它建立在逻辑学的理论基础之上，最初被运用于自然语言等研究领域。现在它已广泛的应用在人工智能的研究中，它可以用来建造专家系统、自然语言理解、智能知识库等。""",中文:, Prolog
 小组过程,"""社会性動物也稱為群居動物，例如人類、狗、猴子、大猩猩、蜜蜂、狮子、螞蟻。它们群族中，可能由一个到多个家庭组成。每个家庭成员各自有比较明显的地位。家貓雖然是獨立的獵人，但也算社會性動物，家庭飼養的貓與流浪貓都可以與同伴關係不錯，包括共同撫育幼貓、母貓帶小貓給其他隻貓認識、送食物給哺乳中的貓媽媽、公貓也多少會照顧小貓、幼貓易有優先進食權等等；相較於未馴化的斑貓，家貓最特別之處，是生理及心理可以適應獨居生活，也可在食物充足情況下適應群居生活。为保障其种族势力范围，社会化动物的群族中通常有首领。在繁殖期中，常有新一代挑战旧首领，并发生激烈打斗。为保障觅食优势，社会化动物的群族会霸占一个地方/地盘。""",中文:, 小组过程
 归纳推理,"""归纳法或归纳推理（Inductivereasoning），有时叫做归纳逻辑，是论证的前提支持结论但不确保结论的推理过程。它基于对特殊的代表（token）的有限观察，把性质或关系归结到类型；或基于对反复再现的现象的模式（pattern）的有限观察，公式表达规律。例如，使用归纳法在如下特殊的命题中：冰是冷的。弹子球在击打球杆的时候移动。推断出普遍的命题如：所有冰都是冷的。所有弹子球都在击打球杆的时候移动。""",中文:, 归纳推理
 软件度量,"""軟體度量（softwaremetric）是一個對於軟體性質及其規格的量測。軟體度量的目的是獲得客觀、可以複製及量化的量測結果，依軟體度量性質及特性的不同，可以分別應用在軟體開發的時程及預算規劃、成本估算、品質保證測試、軟體偵錯、軟體性能最佳化或專案人員配置的最佳化等領域。""",中文:, 软件度量
 静态程序分析,"""靜態程序分析（英语：Staticprogramanalysis）是指在不執行计算机程序的條件下，進行程序分析的方法。有些程序分析需要在程序執行時才能進行，這種程序分析稱為動態程序分析。大部份的靜態程序分析的對象是針對特定版本的源代码，也有些靜態程序分析的對象是目标代码。靜態程序分析一詞多半是指配合靜態程序分析工具進行的分析，人工進行的分析一般稱為程式理解或代码审查。靜態程序分析的複雜程度依所使用的工具而異，簡單的只考慮個別语句及声明的行為，複雜的可以分析程序的完整源代码。不同靜態程序分析技术对分析得到的資訊的用途也有所不同，簡單的可以是高亮标识可能存在的代碼錯誤（如lint），複雜的可以是形式化方法，也就是用數學的方式證明程式的某些行為符合其設計规约。軟體度量和反向工程可以視為一種靜態程序分析的方式。在實務上，在定義所謂的軟體品質指標（softwarequalityobjectives）後，軟體度量的推導及程序分析常一起進行，在開發嵌入式系統時常會用這種方式進行。靜態程序分析的商業用途可以用來驗證安全關鍵電腦系統中的軟體，並指出可能有计算机安全隐患的程式碼，這類的應用越來越多。例如以下的產業已確定用靜態程序分析作為提昇複雜軟體品質的方法：醫療軟體：美國的美国食品药品监督管理局確定在醫療設備上使用靜態程序分析。核能軟體：英國的健康与安全委员会建議針對堆保护系统的軟體進行靜態程序分析中。在資訊安全的領域中，靜態程序分析會稱為靜態應用程式安全檢測（StaticApplicationSecurityTesting，簡稱SAST）。""",中文:, 静态程序分析
